Year,Asia
1990,24574.190000000002
1991,24783.530000000002
1992,25690.670000000002
1993,26876.93
1994,28098.08
1995,29761.170000000002
1996,30772.980000000003
1997,31435.890000000003
1998,31331.22
1999,32412.81
2000,33564.18
2001,34227.090000000004
2002,35680.840000000004
2003,38181.29
2004,41437.69
2005,43693.91
2006,46124.58
2007,48555.25
2008,49636.840000000004
2009,51858.170000000006
2010,56010.08
2011,58324.450000000004
2012,60022.43
2013,61499.44
2014,62895.04
2015,63476.54
2016,63941.740000000005
2017,65721.13
2018,68035.5
2019,69582.29000000001
2020,69256.65000000001
