Year,North America
1990,24667.230000000003
1991,24841.68
1992,25341.77
1993,25830.230000000003
1994,26365.210000000003
1995,26714.11
1996,27295.61
1997,27574.730000000003
1998,27772.440000000002
1999,28528.390000000003
2000,29342.49
2001,28795.88
2002,29156.410000000003
2003,29377.38
2004,29993.77
2005,30168.22
2006,29958.88
2007,30424.08
2008,29644.870000000003
2009,28214.38
2010,28830.77
2011,28598.170000000002
2012,28167.86
2013,28667.95
2014,29063.370000000003
2015,28784.25
2016,28563.280000000002
2017,28563.280000000002
2018,29470.420000000002
2019,29249.45
2020,27063.010000000002
