Year,OECD
1990,52602.490000000005
1991,53207.25
1992,53788.75
1993,54614.48
1994,55579.770000000004
1995,56754.4
1996,58417.490000000005
1997,59022.25000000001
1998,59219.96000000001
1999,60301.55
2000,61685.520000000004
2001,61452.920000000006
2002,61987.9
2003,62871.780000000006
2004,64058.04
2005,64453.46000000001
2006,64616.280000000006
2007,64883.770000000004
2008,64034.780000000006
2009,61197.060000000005
2010,63255.57000000001
2011,62127.46000000001
2012,61685.520000000004
2013,62080.94
2014,61499.44
2015,61511.07000000001
2016,61545.96000000001
2017,61929.75000000001
2018,62592.66
2019,61825.08
2020,57487.090000000004
