Year,United States,France
1990.0,1910.0,225.0
1991.0,1925.0,237.0
1992.0,1964.0,234.0
1993.0,1998.0,238.0
1994.0,2036.0,231.0
1995.0,2063.0,240.0
1996.0,2108.0,251.0
1997.0,2130.0,244.0
1998.0,2148.0,252.0
1999.0,2206.0,252.0
2000.0,2269.0,255.0
2001.0,2226.0,260.0
2002.0,2256.0,261.0
2003.0,2262.0,268.0
2004.0,2308.0,271.0
2005.0,2320.0,273.0
2006.0,2298.0,268.0
2007.0,2338.0,265.0
2008.0,2278.0,266.0
2009.0,2165.0,255.0
2010.0,2217.0,263.0
2011.0,2191.0,258.0
2012.0,2152.0,258.0
2013.0,2190.0,259.0
2014.0,2216.0,249.0
2015.0,2192.0,253.0
2016.0,2168.0,248.0
2017.0,2161.0,247.0
2018.0,2236.0,246.0
2019.0,2214.0,243.0
2020.0,2046.0,217.0
,,
,,
